iter	Passed	Remaining
399	67483	269934
400	67630	269677
401	67764	269370
402	67902	269080
403	68054	268848
404	68213	268642
405	68365	268409
406	68525	268210
407	68678	267982
408	68824	267727
409	68980	267508
410	69127	267259
411	69274	267008
412	69433	266806
413	69601	266636
414	69776	266497
415	69954	266363
416	70123	266199
417	70292	266036
418	70436	265777
419	70586	265538
420	70745	265338
421	70894	265096
422	71040	264846
423	71201	264655
424	71351	264419
425	71465	264052
426	71619	263835
427	71773	263614
428	71940	263445
429	72113	263296
430	72262	263061
431	72418	262850
432	72596	262720
433	72712	262367
434	72861	262132
435	73031	261976
436	73192	261783
437	73347	261572
438	73494	261331
439	73643	261100
440	73811	260935
441	73974	260750
442	74132	260551
443	74283	260327
444	74425	260072
445	74571	259829
446	74714	259577
447	74858	259330
448	74972	258982
449	75103	258690
450	75236	258406
451	75375	258143
452	75521	257907
453	75661	257650
454	75810	257421
455	75954	257178
456	76115	256995
457	76270	256787
458	76416	256551
459	76564	256323
460	76729	256152
461	76872	255907
462	76982	255555
463	77121	255298
464	77274	255090
465	77418	254849
466	77530	254504
467	77684	254301
468	77831	254072
469	77975	253834
470	78123	253611
471	78280	253417
472	78423	253178
473	78558	252910
474	78707	252690
475	78842	252428
476	78972	252149
477	79075	251785
478	79215	251537
479	79323	251189
480	79467	250958
481	79614	250736
482	79755	250496
483	79901	250269
484	80040	250022
485	80185	249794
486	80324	249549
487	80464	249308
488	80602	249061
489	80751	248844
490	80861	248512
491	81008	248295
492	81159	248088
493	81322	247918
494	81439	247607
495	81579	247369
496	81730	247165
497	81850	246867
498	81994	246640
499	82161	246485
500	82276	246172
501	82382	245834
502	82491	245506
503	82640	245296
504	82780	245062
505	82891	244743
506	83035	244521
507	83143	244194
508	83277	243943
509	83387	243621
510	83532	243404
511	83682	243203
512	83813	242944
513	83947	242697
514	84088	242468
515	84240	242274
516	84374	242026
517	84510	241784
518	84654	241566
519	84778	241291
520	84931	241100
521	85073	240879
522	85189	240583
523	85319	240326
524	85465	240116
525	85607	239897
526	85749	239676
527	85881	239427
528	86036	239243
529	86166	238991
530	86305	238763
531	86438	238519
532	86578	238294
533	86719	238072
534	86849	237820
535	87000	237629
536	87132	237382
537	87276	237172
538	87402	236910
539	87553	236718
540	87683	236470
541	87799	236183
542	87944	235975
543	88091	235773
544	88197	235461
545	88343	235258
546	88475	235017
547	88607	234776
548	88736	234528
549	88841	234217
550	88964	233956
551	89114	233763
552	89254	233545
553	89392	233325
554	89533	233110
555	89674	232896
556	89816	232683
557	89936	232416
558	90039	232104
559	90143	231797
560	90291	231603
561	90423	231369
562	90579	231194
563	90728	231003
564	90875	230807
565	90992	230535
566	91099	230239
567	91199	229924
568	91332	229695
569	91472	229482
570	91598	229237
571	91733	229013
572	91860	228768
573	91986	228525
574	92133	228330
575	92238	228034
576	92381	227831
577	92525	227631
578	92660	227409
579	92761	227105
580	92861	226800
581	92963	226498
582	93095	226270
583	93218	226021
584	93324	225734
585	93428	225440
586	93571	225240
587	93707	225026
588	93858	224846
589	94006	224658
590	94142	224443
591	94286	224248
592	94422	224035
593	94531	223755
594	94632	223460
595	94738	223177
596	94873	222960
597	95029	222795
598	95167	222586
