iter	Logloss
0	0.6643276025
1	0.6362654605
2	0.6143704155
3	0.5861776549
4	0.561029317
5	0.5459792182
6	0.5215982991
7	0.5022004323
8	0.4850424956
9	0.4709898898
10	0.4551179383
11	0.4436217492
12	0.430317978
13	0.4147775715
14	0.4017481789
15	0.3910826147
16	0.3833860004
17	0.3699501063
18	0.3613633603
19	0.3532123003
20	0.3460139355
21	0.3367423496
22	0.3279922523
23	0.3198007275
24	0.3072920439
25	0.3001119128
26	0.2928208454
27	0.2882416291
28	0.2779382873
29	0.2686723759
30	0.2594015674
31	0.2530978942
32	0.2474132063
33	0.2424004883
34	0.2357724292
35	0.2308719212
36	0.2251002472
37	0.2218888148
38	0.2147015332
39	0.2092688638
40	0.2050323924
41	0.2012883244
42	0.1969223073
43	0.1932445034
44	0.1879118511
45	0.1826274279
46	0.1792871177
47	0.1762656391
48	0.1737646196
49	0.1702215575
50	0.1659225523
51	0.1617501224
52	0.1599879437
53	0.1575802166
54	0.1550316268
55	0.1526699589
56	0.1502529311
57	0.1476981622
58	0.1452612365
59	0.1428282111
60	0.1398873899
61	0.137614814
62	0.135777246
63	0.133920784
64	0.1316304171
65	0.1302436491
66	0.128824069
67	0.1273443182
68	0.1249903309
69	0.1231678187
70	0.1214290299
71	0.1193081538
72	0.1175952208
73	0.1165490895
74	0.1147124161
75	0.1131580902
76	0.1114488048
77	0.1095586979
78	0.1083230348
79	0.1070701297
80	0.1060859954
81	0.1043846465
82	0.103511749
83	0.102427569
84	0.1016575616
85	0.1007543392
86	0.09978777673
87	0.09870242016
88	0.09790598255
89	0.09668201137
90	0.09572842577
91	0.09472661672
92	0.09358498688
93	0.09292408612
94	0.09204497964
95	0.09097237074
96	0.08982312419
97	0.08895385
98	0.08798693148
99	0.08688077112
100	0.08636285149
101	0.08559324748
102	0.08460879978
103	0.08407454783
104	0.08339309941
105	0.08286674799
106	0.0818121256
107	0.08112999898
108	0.08048912152
109	0.07966948578
110	0.0789035481
111	0.07815704164
112	0.07745445881
113	0.07667131115
114	0.07618003231
115	0.07569480071
116	0.07515296619
117	0.07443185859
118	0.07405497688
119	0.07345640671
120	0.07268009952
121	0.07206394299
122	0.07178325779
123	0.0711187268
124	0.07064134057
125	0.07007533333
126	0.06955253277
127	0.06929966771
128	0.06888874928
129	0.06835205015
130	0.06783591136
131	0.06733081652
132	0.06683393543
133	0.06639621959
134	0.06597395536
135	0.0656284611
136	0.06517416171
137	0.06489429042
138	0.06439225064
139	0.06391098937
140	0.06370982408
141	0.06325376795
142	0.06286967796
143	0.06268936778
144	0.06227466469
145	0.06205921046
146	0.06182317444
147	0.06140582802
148	0.06101846605
149	0.06064471147
150	0.06033636765
151	0.06010940015
